text;created_date;rubrics
Порой жизнь недвусмысленно даёт вам понять, что управлять ею — у вас кишка тонка.;23.03.2019 7:18;['VK-1603736028819866', 'VK-45786578236', 'VK-73097901474']
"Всем привет! Помогите пожалуйста. Мерседес Вито 638 2.2cdi
Педаль сцепления при выжиме остаётся внизу только когда включаешь передачу, а на нейтралке нажимается и спокойно возвращается назад. Куда копать?";22.03.2019 19:06;['VK-1603736028819866', 'VK-70418182801', 'VK-57620613429']
"?Мужские шапки - показатель стиля, оригинальности. В наличии 5000+ моделей высокого качества недорого и под любой стиль. Наши цены 30-40% ниже, чем в обычных магазинах ? проверенный продавец! 

? Высокое качество изделий. 
? Доступные цены: от 600 руб.
? Идеальны для автолюбителей и деловых мужчин. 
? Популярные бренды: Adidas, Calvin Klein, Hugo Boss, Nike, Roberto Cavalli, Tom Tailor, Wrangler.

?? Крупнейшая коллекция здесь - https://vk.cc/7GwGA5";22.03.2019 3:00;['VK-1603736028819866', 'VK-87802206978', 'VK-62424055692']
Добрый вечер. Помогите пожалуйста,не знаю уже что делать. Менял термостат и радиатор на Мерседес Вито 2,3 дизель 1997 года, и снял провода с генератора. После всей сборки и постановки всех комплектующих на место, замети,что на приборке при неповернутом ключе зажигания работает указатель уровня топлива, а когда поворачиваешь ключ- то горит только АБС и накал.Что делать? Заранее спасибо!;18.03.2019 19:48;['VK-1603736028819866', 'VK-72665498809', 'VK-41764005486']
Если у человека изменилось мировоззрение, то непроизвольно меняется и поведение, и характер. А если изменился характер, то меняется и судьба. Мысль рождает поступок, поступок – привычку, привычка – характер, характер – судьбу.;13.03.2019 19:18;['VK-1603736028819866', 'VK-85315807290', 'VK-69388920150']
Главные вещи - это совсем не бабки, не твое положение, не те дающие самки, не дачи, не хаты, не наркотиков горы, а те люди, ради кого ты свернешь горы.;12.03.2019 7:12;['VK-1603736028819866', 'VK-59398833276', 'VK-65202762311']
"Mercedes-Benz 300 SL w198 
 
Мотор: 240л.с. 3л. 
Масса: 1310кг. 
Разгон 0-100 км.ч.: 7,2с. 
Макс. скор.: 260км.ч. 
Цена: 600 000 $";01.03.2019 7:12;['VK-1603736028819866', 'VK-38428910237', 'VK-84755955422']
"? [club53090858|Mercedes-Benz] 
? [club32210234|Ferrari] 
? [club92964646|Rolls-Royce]";13.02.2019 7:12;['VK-1603736028819866', 'VK-23676418879', 'VK-58227291694']
Нет недостижимых целей, есть высокий коэффициент лени, недостаток смекалки и запас отговорок.;12.02.2019 7:12;['VK-1603736028819866', 'VK-51466612838', 'VK-68321770642']
Подходящее время может вообще никогда не наступить. Если вы действительно хотите сделать что-то, забудьте о времени и просто cделайте это.;11.02.2019 7:12;['VK-1603736028819866', 'VK-96946433519', 'VK-88478585361']
Чтобы изменить свою жизнь, ехать куда-то необязательно, но важно сдвинуться с места.;09.02.2019 7:12;['VK-1603736028819866', 'VK-63945554870', 'VK-19589318823']
Половина того, что отделяет успешных предпринимателей от неудачников – это настойчивость.;01.02.2019 19:12;['VK-1603736028819866', 'VK-39437915831', 'VK-15483754639']
Такой вопрос. Спринтер 2006 г. 2,2 мотор, 311. Поменял масло, залил синтетику 5 w 40. Проехал 5 км и начала мигать лампочка жёлтая на масло. Остановился проверил уровень, всё в норме, завёл перестала мигать проехал ещё пару км и снова замигала, через минут 5 сама перестала. Может кто сталкивался?;31.01.2019 20:53;['VK-1603736028819866', 'VK-55589353327', 'VK-45954053487']
Мерседес спрингер класик 311 автобус один с пятиступкой другой с шестиступкой какой лучше?;29.01.2019 20:29;['VK-1603736028819866', 'VK-34740650846', 'VK-95893932115']
"Доброго времени суток !
Нужна помощь !
У меня Вито 639 кузов 111 модификации.
Проблема такова , на приборе постоянно  показывать наружная температура +34 , и бывает прыгает туда-сюда.
Снял бампер и датчика на своем месте не нашел , я так понимаю он где-то оборван ... Может кто-то знает распиновку проводов , которые подходят к  датчику или цвет и где их вообще искать";23.01.2019 20:52;['VK-1603736028819866', 'VK-42294619173', 'VK-49672037643']
"Mercedes-Benz Concept IAA 
 
Мотор: 279л.с. 2л. 
Масса: 1800кг. 
Разгон 0-100 км.ч.: 5,5с. 
Максимальная скорость: 250км.ч.";19.01.2019 7:12;['VK-1603736028819866', 'VK-18430707560', 'VK-96155962748']
Победа не дает силу – силу дает борьба. Если ты борешься и не сдаешься – это и есть сила.;13.01.2019 19:12;['VK-1603736028819866', 'VK-47060416331', 'VK-29279989247']
Мужики всем привет, подскажите пожалуйста где посмотреть коды ошибок на мерседес виано год 2008, мотор 2.2 150 кобыл;09.01.2019 20:55;['VK-1603736028819866', 'VK-88413115730', 'VK-69103370657']
Мужики скажите, с ключа не открывается центральный замок. Батарейка норм, предохранитель в порядке. Замки все работают. Что может быть? 638;03.01.2019 19:46;['VK-1603736028819866', 'VK-55787334987', 'VK-35076531029']
Вот и настал 2020, не буду многословен и просто хочу сказать что 2019 был довольно продуктивный, ибо в жизни случилось много нового и хорошего. Пусть каждый кто читает это, избавится от лени и встречает новый день, новыми мыслями, а так же мечтами. Я верю, что этот день особенный, потому что заряжаю свои мысли сам, ставя для себя новые цели. Стремитесь, добивайтесь, и любите. ????;31.12.2019 18:00;['VK-1603736028819866', 'VK-53518190544', 'VK-96357693758']
"анон ?
ищу девушку/парня~
p.s. я тоже тян (?•?•?)?*?

?о себе?

~#UoYH16
~ пансексуал 
~ рост 165
~ я очень открытый человек 
~ люблю разговаривать , так что пожалуйста будьте тоже общительными :з
~ не люблю когда оскарбляют людей :с
~ раньше увлекалась аниме 
~ когда то веду себя как ребенок ??(???)??
~ будет хорошо если вы как и я будете искренними и уважать мнение/личные качества каждого человека (?????)??

?о тебе?

~#UoYW15_17
~ насчёт роста 
175 (если ты парень)
170 (если ты девушка)
~ азиатская внешность (девушкам не обязательно)
~ люблю ухоженную внешность
~ обожаю милых парней которые смущаются пхпаапргр
~ буду рада если ты не будешь против при встречах скиншипа и совместных милых фоток ????
~ будьте искренними, жизнерадостными и цените каждые моменты !

можете оставить в комментариях ""+"" и я вам напишу~

p.s.2. админ меня наверное уже запомнил после стольких попыток пхпапх , спасибо за ваше терпение??(?.? ? ?.)?*.?
____
Admin: Даа, помню :3";31.12.2019 13:25;['VK-1603736028819866', 'VK-73993601368', 'VK-38625555140']
"прошу опубликовать анонимно, иначе, мое хиккаподобное существо, войдет в отчаянное положение 
согласитесь, как то глупо искать людей в интернете, да, не сомневаюсь что много кто находят/дружат, мб более что то масштабное, но все же, если ваше представление о человеке окажется не самым удачным, само собой, это -мораль, что частенько и происходит.
описывать, себя в общих чертах, конечно же глупо, но попытаюсь, конечно же без цинизма, ну и попытаюсь добавить кусочек самокритики, как же без этого:?
уже как год>прошло с того момента, как стал совершеннолетним , ростом под ~175, существуя эти 17 лет, осознанно пытаюсь побороть свой главный минус, добротное отношение ко всем(в реальной же жизни, а в вк ну, токсичничаю частенько, мб из за того, как подобает плохим мальчикам), ненавижу всяких челов что любят покорять какую то вершину популярности, собирая друзей/ подписчиков/гуляя в компашках, хождением в хаты, заведения, которые, не подобают воспитанным девочкам(нет, я не говорю что вы, не должны никуда выходить, хаты/выпивка лоу)
уверен, многие мб будут комментировать сей запись, видя меня как чела, ищущего идеальную девочку, в чем то вы правы. 
глупо, искать сразу же свою пару, думаю стоит начинать с дружбы. 
данный текст пишу без рофлов, в какои то смысле, даже аморал, по отношению к тем же «злым» чувакам.";31.12.2019 12:25;['VK-1603736028819866', 'VK-12369141112', 'VK-50792326747']
"Анонимно 
Дарова работяги 
Ищу девушку мб просто подругу 
#UoY15-16
Красивую 
Высокую 
Мб даже пошлую
Казашку  
О себе рассказать могу только в лс
)) 
Ставьте «+» я сам потом выберу";31.12.2019 11:25;['VK-1603736028819866', 'VK-50862027655', 'VK-40135857566']
"С наступающим админ , опубликуй пожалуйста)
Анон 
Привет)
Не знаю что меня сподвигло написать сюда.. Наверное одиночество в большей степени. 
Не люблю жаловаться, но да, сейчас не самый лёгкий период моей жизни. 
Хочу начать с того, что я представитель нетрадиционной ориентации - что очень очень печально для меня. 
Мне 16 лет и соответсвенно я хочу что бы ты была не младше меня. 
Возможно я покажусь ужасным человеком- скорее всего так и есть , но я очень сильно смотрю на внешность извини. И соответственно я считаю себя довольно привлекательной, но судить тебе.
Мне очень важно что бы ты была собой в моем окружении , и что бы с тобой было о чем поговорить. 
Ну на этом все??
(Блин как там эти хештеги писать я забыла емае вроде #UoY16 (?))
Спасибо админ";31.12.2019 10:29;['VK-1603736028819866', 'VK-12226415716', 'VK-38169460183']
"Анон 
Я пишу первый раз.. 
Админу гелик 

Мне 13 годиков,  да я малолетка но пофиг.  Ищу таких же немного одбитых людей.  Пол не важен. 

О себе
 рост 163
Общительный 
Чуть чуть отбитый 
 Остальное лс (Желательно девочка )
Админ пропусти плииз";31.12.2019 9:30;['VK-1603736028819866', 'VK-77449069467', 'VK-32758432148']
